measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,ben_aai_People,bcr_aai_Assets,bcr_aai_People,npv_aai_Assets,npv_aai_People,ben_rp250_Assets,ben_rp250_People,bcr_rp250_Assets,bcr_rp250_People,npv_rp250_Assets,npv_rp250_People,cost_Assets,cost_People,approv,feas
Flood Wall,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,120838205.16562994,262824.910045421,14.871712222849544,0.03234619731263238,102718652.17363663,211648.3486335234,-9.277395502244955e-08,0.0,-1.1417809119047455e-14,0.0,2562729059.9318914,5227418.786817872,7380000.0,7380000.0,4,0.09250389102803236
Green Roofs,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,0.0,0.0,0.0,0.0,196480460.3014185,422582.3906609489,3.938463868729178e-07,3.6370464980971287e-10,1.1020500849815572e-13,1.0177083085957425e-16,2025404916.3157618,4186360.728968254,3435565.583333333,3435565.583333333,1,0.4801181574629616
Green Roofs,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,0.0,0.0,0.0,0.0,196520876.75220236,422715.88404370664,3.938463868729178e-07,3.6370464980971287e-10,1.1020500849815572e-13,1.0177083085957425e-16,2025404916.3157618,4186360.728968254,3435565.583333333,3435565.583333333,1,0.4801181574629616
Green Roofs,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,0.0,0.0,0.0,0.0,196921280.98991188,423348.62745462864,3.938463868729178e-07,3.6370464980971287e-10,1.1020500849815572e-13,1.0177083085957425e-16,2025404916.3157618,4186360.728968254,3435565.583333333,3435565.583333333,1,0.4801181574629616
Green Roofs,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,0.0,0.0,0.0,0.0,196480460.3014185,422582.3906609489,3.938463868729178e-07,3.6370464980971287e-10,1.0412180567159004e-13,9.615318594140103e-17,2025404916.3157618,4186360.728968254,3435565.583333333,3435565.583333333,1,0.4801181574629616
Green Roofs,river_flood,RF,1.2,1.0,2.5,2.5,0.0,0.0,0.0,0.0,198954353.7663675,427405.5980336599,3.938463868729178e-07,3.6370464980971287e-10,1.1463800568487218e-13,1.0586456319568525e-16,2058987675.29177,4251426.857583855,3435565.583333333,3435565.583333333,1,0.4801181574629616
Green Roofs,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,0.0,0.0,0.0,0.0,222887033.8091901,473245.7266656388,-9.277395502244955e-08,0.0,-2.5959751929768478e-14,0.0,2562729059.9318914,5227418.786817872,3435565.583333333,3435565.583333333,1,0.4801181574629616
Green Roofs,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,0.0,0.0,0.0,0.0,223556857.33926657,474473.2586789444,-9.277395502244955e-08,0.0,-2.4526800392735982e-14,0.0,2562729059.9318914,5227418.786817872,3435565.583333333,3435565.583333333,1,0.4801181574629616
Green Spaces,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,47109.93555301256,79.86695758648877,0.029690552301984547,5.033532849463616e-05,196433350.3658655,422502.5237033624,3.938463868729178e-07,3.6370464980971287e-10,2.4821763415998214e-13,2.2922111441860616e-16,2025404916.3157618,4186360.728968254,1525341.0,1525341.0,2,0.019159816131060436
Green Spaces,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,40206.79201955629,67.92373859346544,0.02533991709685778,4.280823757413631e-05,196480669.96018282,422647.96030511317,3.938463868729178e-07,3.6370464980971287e-10,2.4821763415998214e-13,2.2922111441860616e-16,2025404916.3157618,4186360.728968254,1525341.0,1525341.0,2,0.019159816131060436
Green Spaces,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,42484.40572687381,94.27207032446866,0.026775359707997232,5.941400262446366e-05,196878796.584185,423254.3553843042,3.938463868729178e-07,3.6370464980971287e-10,2.4821763415998214e-13,2.2922111441860616e-16,2025404916.3157618,4186360.728968254,1525341.0,1525341.0,2,0.019159816131060436
