measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,bcr_aai_Assets,npv_aai_Assets,ben_rp250_Assets,bcr_rp250_Assets,npv_rp250_Assets,cost_Assets,approv,feas
Beach nourishment,TCs,TC,0.71953125,0.9337752317511586,1.59765625,3.02734375,3522403747.6550756,2.18299653427841,98136610660.86699,173877904642.3152,107.7601803809275,2661112979459.077,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.71953125,0.9337752317511586,1.59765625,3.19140625,2878266211.51935,1.7837947079917384,98780748197.00272,173877904642.3152,107.7601803809275,2661112979459.077,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.71953125,0.9337752317511586,2.39453125,3.19140625,4809195266.037,2.980480759883335,140769741326.6458,498022651.8539293,0.3086476738258714,4211523997822.9546,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.71953125,1.087272589462704,1.59765625,3.19140625,2878266211.51935,1.5319647832514516,98780748197.00272,173877904642.3152,92.54697339373959,2661112979459.077,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.71953125,1.1341717841080254,1.50390625,3.28515625,2116448170.23175,1.079903778221116,96234150583.99214,140118927079.19547,71.49476225375427,2475424944118.2617,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.72734375,0.912727410537296,2.23046875,2.86328125,7816431705.070307,4.9559133704645175,128477907044.04692,100997409654.04628,64.036178114636,4092226987380.84,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.72734375,1.0477771988903886,2.46484375,1.76171875,7975966252.4261,4.405250673313802,112961887096.09332,9.500052994298834e-05,5.247027573232513e-14,4234976408872.5415,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.73515625,1.0267528206101098,3.19140625,3.35546875,2885297375.6745806,1.6262261413582288,166181945769.90677,-0.00023719895679091574,-1.3369129556224776e-13,4257930797270.276,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.73515625,1.043431116117521,2.39453125,1.45703125,10501971369.252918,5.824562478250278,88314622659.45775,97079265431.36084,53.84172427884153,4068551799015.7993,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.73515625,1.0737304000438654,2.58203125,2.76953125,5502858635.120667,2.9658512723232384,145421301707.44934,-0.00023719895679091574,-1.278420679939302e-13,4257930797270.276,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.73515625,1.1717228117505742,2.39453125,1.45703125,10501971369.252918,5.186832300804134,88314622659.45775,97079265431.36084,47.946604687186515,4068551799015.7993,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.73515625,1.1717228117505742,2.39453125,3.91796875,4913629473.768533,2.42679885257951,141851855485.357,508837475.99846303,0.2513104029302097,4257421959794.2773,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.73515625,1.1717228117505742,3.75390625,1.45703125,7292185976.799077,3.601547217950857,122660644484.4006,96570427955.36214,47.69529428425619,4069060636491.798,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.74296875,0.8433311413931587,3.35546875,2.88671875,4576945240.596912,3.1407534150901912,167529410714.15515,-0.00023719895679091574,-1.6276870148871187e-13,4280885185668.008,1728000000.0,2,0.15935113630024111
